handle,plataforma,url,como_verificar
alanzoka,twitch,https://www.twitch.tv/alanzoka,"bio + painel: procurar 'cortes liberados/pode clipar'; só ativar após evidência"
gaules,twitch,https://www.twitch.tv/gaules,"bio + regras de clips; só ativar após evidência"
casimiro,twitch,https://www.twitch.tv/casimito,"bio + painel clips; só ativar após evidência"
cellbit,twitch,https://www.twitch.tv/cellbit,"bio + painel clips; só ativar após evidência"
coringa,twitch,https://www.twitch.tv/coringa,"LOUD Coringa (handle real; loud_coringa não existe); bio + Discord; só ativar após evidência"
bistecone,twitch,https://www.twitch.tv/bistecone,"bio + painel clips; só ativar após evidência"
orochinho,twitch,https://www.twitch.tv/orochinho,"bio + painel clips; só ativar após evidência"
yoda,twitch,https://www.twitch.tv/yoda,"bio + painel clips; só ativar após evidência"
brksedu,twitch,https://www.twitch.tv/brksedu,"bio + painel clips; só ativar após evidência"
flowgamespodcast,youtube,https://www.youtube.com/@flowgamespodcast,"canal Flow Games (handle real); existe canal oficial 'Cortes do Flow Games' — confirmar política"
orochijoga,youtube,https://www.youtube.com/@orochijoga,"canal Orochinho (handle real); descrição sem evidência textual — confirmar"
ilhadalendas,twitch,https://www.twitch.tv/ilhadalendas,"bio + painel; conteúdo LoL costuma ter cortes liberados — confirmar"
cazetv,youtube,https://www.youtube.com/@CazeTV,"descrição do canal + regras de repost; só ativar após evidência"
nobru,youtube,https://www.youtube.com/@Nobru,"descrição + AP; só ativar após evidência"
flowpodcast,youtube,https://www.youtube.com/@FlowPodcast,"podcasts costumam liberar cortes com crédito — confirmar descrição"
podpah,youtube,https://www.youtube.com/@Podpah,"descrição: política de cortes; só ativar após evidência"
felca,youtube,https://www.youtube.com/@Felca0,"descrição do canal; só ativar após evidência"
paulinhooloko,kick,https://kick.com/paulinhooloko,"bio + regras; Kick sem API estável — validar yt-dlp antes de ativar"
